Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
"Механика машин, механизмов и материалов",1995-0470,2518-1475,"Russian, English","National Academy of Sciences of Belarus,  State Scientific Institution “The Joint Institute of Mechanical Engineering""",No,CC BY-NC-ND,No
"Културно-историческо наследство: Опазване, представяне, дигитализация",,2367-8038,"English, Bulgarian, Russian","Bulgarian Academy of Sciences, Institute of Mathematics and Informatics",No,CC BY-NC-ND,No
"Studies in Linguistics, Culture, and FLT",2534-952X,2534-9538,English,Konstantin Preslavsky University of Shumen,No,CC BY,No
Magazine of Civil Engineering,,2712-8172,English,Peter the Great St. Petersburg Polytechnic University,No,CC BY-NC,No
Проблеми трибології,2079-1372,,English,"Khmelhitsky National University,  Lublin University of Technology",No,CC BY,No
Геосистемы переходных зон,2541-8912,2713-2161,"Russian, English","Дальневосточного отделения Российской академии наук, Южно-Сахалинск, Федеральное государственное бюджетное учреждение науки Институт морской геологии и геофизики",No,CC BY,No
Сучасна педіатрія: Україна,2663-7553,2706-6134,"Ukrainian, Russian, English","Group of Companies Med Expert, LLC",No,CC BY-NC,No
Вестник Южно-Уральского государственного университета: Серия Вычислительная математика и информатика,2305-9052,2410-7034,"Russian, English",Челябинск: Южно-Уральский государственный университе,No,CC BY,No
Современная терапия психических расстройств,2306-4137,,"English, Russian",Современная терапия психических расстройств,No,CC BY-NC-ND,No
Технологія виробництва і переробки продуктів тваринництва,2310-9289,2415-7635,"English, Ukrainian",Bila Tserkva National Agrarian University,No,CC BY,No
Визуальная теология,2713-1610,2713-1955,"Russian, English, French, German",Yaroslav-the-Wise Novgorod State University,No,CC BY-NC,No
Pharmaceutical Fronts,2628-5088,2628-5096,English,Georg Thieme Verlag KG,No,"CC BY, CC BY-NC-ND",No
Journal of Transition Medicine,,2568-2407,English,De Gruyter,Yes,CC BY,Yes
Техніко-технологічні аспекти розвитку та випробування нової техніки і технологій для сільського господарства України,2305-5987,2617-3778,"English, Ukrainian, Russian",Державна наукова установа «Український науково-дослідний інститут прогнозування та випробування техніки і технологій для сільськогосподарського виробництва імені Леоніда Погорілого» (УкрНДІПВТ ім. Л. Погорілого),No,CC BY,Yes
Hanggong uju uihakoeji,1738-2548,2713-9972,"Korean, English",Aerospace Medical Association of Korea,No,CC BY-NC,Yes
Psicologia USP,0103-6564,1678-5177,"Spanish, Portuguese, French, English",Universidade de São Paulo,No,CC BY-NC,No
Revista de Ciências Agroambientais,1679-1509,1677-6062,"Portuguese, English",Universidade do Estado de Mato Grosso,No,CC BY-NC-ND,No
Review of Economic Perspectives,,1804-1663,English,Sciendo,No,CC BY-NC-ND,No
Ciência Animal Brasileira,1518-2797,1809-6891,"Portuguese, English",Universidade Federal de Goiás,No,CC BY,No
Icelandic Medical Journal,0023-7213,,Icelandic,The Icelandic Medical Association,No,CC BY-NC-ND,No
Etnográfica: Revista do Centro em Rede de Investigação em Antropologia,0873-6561,2182-2891,"Spanish, Portuguese, French, English",Centro em Rede de Investigação em Antropologia,No,CC BY-NC,No
Currículo sem Fronteiras,,1645-1384,"Spanish, Portuguese, English",Currículo sem Fronteiras,No,CC BY-NC,No
Moroccan Journal of Pure and Applied Analysis,2605-6364,2351-8227,English,Sciendo,No,CC BY-NC-ND,No
Journal of Thermal Science and Technology,,1880-5566,English,The Japan Society of Mechanical Engineers,No,CC BY-NC-ND,Yes
"Journal of Education, Management and Development Studies",2782-9413,2799-0583,English,Camarines Sur Polytechnic Colleges,No,CC BY-NC-ND,Yes
Flora Mediterranea,1120-4052,2240-4538,"English, French",Foundation pro Herbario Mediterraneo,No,CC BY,Yes
Dementia & Neuropsychologia,1980-5764,,English,Associação Neurologia Cognitiva e do Comportamento,No,CC BY,No
Floresta e Ambiente,1415-0980,2179-8087,"Portuguese, English",Universidade Federal Rural do Rio de Janeiro,No,CC BY,No
Iheringia: Série Botânica,0073-4705,,"Portuguese, English",Fundação Zoobotânica do Rio Grande do Sul,No,Publisher's own license,No
"Advances in Statistical Climatology, Meteorology and Oceanography",2364-3579,2364-3587,English,Copernicus Publications,Yes,CC BY,No
Questões Transversais,,2318-6372,Portuguese,Universidade do Vale do Rio dos Sinos,No,CC BY,No
Cadernos de Saúde Coletiva,1414-462X,,"Spanish, Portuguese, English",Instituto de Estudos em Saúde Coletiva da Universidade Federal do Rio de Janeiro,No,CC BY,No
Humanitas: Indonesian Psychological Journal,1693-7236,2598-6368,English,Universitas Ahmad Dahlan,No,CC BY-SA,Yes
Prismet,0032-8847,2535-311X,"Swedish, English, Danish, Norwegian Bokmål",Kirkelig Pedagogisk Senter (IKO),No,CC BY-NC,Yes
Knygotyra,0204-2061,2345-0053,"Lithuanian, English",Vilnius University Press,Yes,CC BY,No
"STEPP: Socialinė Teorija, Empirija, Politika ir Praktika",1648-2425,2345-0266,Lithuanian,Vilnius University Press,Yes,CC BY,No
Cadernos de Naturologia e Terapias Complementares,2316-7580,2316-915X,"Spanish, Portuguese, English",Universidade do Sul de Santa Catarina,No,CC BY-NC-SA,No
Revista Ensino Interdisciplinar,,2447-0783,Portuguese,Universidade do Estado do Rio Grande do Norte,No,CC BY,No
Bergen Journal of Criminal Law and Criminal Justice,,1894-4183,English,University of Bergen,No,CC BY,No
Fizičeskoe Vospitanie Studentov,2075-5279,2223-2125,"English, Russian",Kharkov National Pedagogical University,No,CC BY,No
Journal of Family Strengths,,2168-670X,English,Children at Risk Institute,No,CC BY-NC-ND,No
Territorio Italia,2240-7707,2499-2666,Italian,Agenzia delle Entrate,No,CC BY-NC,No
Revista de Pesquisa e Educação Jurídica,,2525-9636,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
European Medical Journal Urology,,2053-4213,English,European Medical Journal,No,CC BY-NC,No
Revista Brasileira de Finanças,1679-0731,1984-5146,"English, Portuguese",Brazilian Society of Finance,No,CC BY,No
Jurnal Akuntansi,1410-3591,2549-8800,"English, Indonesian",Universitas Tarumanagara,No,CC BY,Yes
Kairós Gerontologia,1516-2567,2176-901X,"Spanish, Portuguese, English",Pontifícia Universidade Católica de São Paulo,No,CC BY-NC-SA,No
Review of Artistic Education,,2501-238X,English,Sciendo,No,CC BY-NC-ND,Yes
Revista Brasileira de Geomorfologia,1519-1540,2236-5664,"Spanish, English, Portuguese",União da Geomorfologia Brasileira,No,CC BY-NC,No
Journal of Religious and Social Studies,2789-0317,2789-0325,English,School of Religious and Social Studies -SRSS,No,CC BY-NC,Yes
Tadris: Jurnal Pendidikan Islam,1907-672X,2442-5494,"English, Indonesian, Arabic",Institut Agama Islam Negeri Madura,No,CC BY-NC,Yes
Justisi,1979-7532,2686-0821,"Indonesian, English",LPPM Universitas Muhammadiyah Sorong,No,CC BY-SA,Yes
Khazanah Journal of Religion and Technology,,2987-6060,English,UIN Sunan Gunung Djati Bandung,No,CC BY,No
Advanced Engineering Letters,,2812-9709,English,The Association of Intellectuals for the Development of Science in Serbia – “The Serbian Academic Center”,No,CC BY-NC,No
Tebuireng,2746-8127,2775-2151,"English, Indonesian","Fakultas Agama Islam, Universitas Hasyim Asy'ari",No,CC BY,No
Revista Espiga,1409-4002,2215-454X,Spanish,Revista Espiga,No,CC BY-NC-SA,No
Banatica,1222-0612,,"Romanian, English","Museum of the Highland Banat, Reșița",No,CC BY,No
